이름,내용,배경,인물,흔들림,흔들림 강도,효과음
,제국력 361년,0,0,0,0,4
,마족이 인간의 땅 지상으로 침공을 시작하여 전쟁이 시작됐다,1,0,0,0,0
,마족은 비옥한 땅을 얻기 위해 ,1,0,0,0,0
,인간은 삶의 터전을 빼앗기지 않기 위해,2,0,0,0,0
,서로를 죽이고 죽였다,2,0,0,0,0
,강력한 마족들에 의해 인간의 영토는 줄어만 가는 가운데,0,0,0,0,0
,인간은 용사를 소환했다,3,0,0,0,0
,하지만 용사가 소환되었어도 상황은 크게 달라지진 않았다,3,0,0,0,0
,아직 힘이 없는 용사가 성장할 때까지 인간의 패전은 계속되었다,3,0,0,0,0
,제국력 366년 겨울,0,0,0,0,0
,용사 소환 후 5년이 흘렀다,0,0,0,0,0
,지상의 70%가 마족에게 점령당했지만,0,0,0,0,0
,용사는 강해졌고 든든한 동료도 생겼다,4,0,0,0,0
,용사파티를 중심으로 인간의 대대적인 반격이 시작되었고,4,0,0,0,0
,마침내 인간은 처음으로 마족과의 전투에서 승리했고 전장에는 승리의 함성이 울려 퍼졌다,4,0,0,0,0
,하지만 인간과 마족의 전투는 한 곳에서만 치러지진 않았다,4,0,0,0,0
