이름,내용,배경,인물,흔들림,흔들림 강도,효과음
,갑작스럽게 울려 퍼지는 굉음에 스텔라와 벨라는 깜짝 놀란다,0,0,0,0,12
벨라,뭐야? 이게 무슨 소리야?,7,2,0,0,0
,스텔라와 벨라는 창문으로 달려가 밖을 바라보았다,7,0,1,0,7
,창밖에는 불타는 도시와 붉은 달이 떠있었다,8,0,0,0,0
벨라,이게 무슨!,8,2,0,0,0
벨라,스텔라. 저기 있는 저거 설마...,8,2,0,0,0
스텔라,마족…!,8,4,0,0,0
,스텔라의 눈에서 뜨거운 불이 타올랐다,8,4,0,0,0
벨라,마족이 수도에 쳐들어오다니?!,8,2,0,0,0
벨라,어서 도망쳐야 해!,8,2,0,0,0
스텔라,난 싸울 거야 더 이상 저놈들에게서 도망치고 싶지 않아,8,4,0,0,0
벨라,뭐? 너 미쳤어? 죽고 싶어서 환장했니? 어서 도망….,8,2,0,0,0
,콰---앙,0,0,1,30,10
,벽이 폭발하고 그 충격으로 벨라가 넘어졌다,0,0,0,0,0
벨라,꺄악!,0,2,0,0,0
,그리고 무너진 벽으로 마족-가고일이 나타났다,10,6,0,0,0
가고일,--------!!!!!,10,6,1,20,16
,가고일의 날카로운 손톱이 벨라를 꿰뚫기 위해 공중을 갈랐다,10,6,0,0,16
스텔라,하앗!,10,4,1,0,19
,스텔라의 손에 있는 카드가 빛을 발하더니 곧이여 빛의 화살이 발사되어 마족을 꿰뚫었다,10,4,1,0,20
가고일,끼에에에에에에엑,10,6,1,20,16
,가고일은 괴로운 듯한 비명을 지르며 불타올랐고 순식간에 재가 되었다,10,0,0,0,0
,재가되어 바스러지는 가고일을 보며 스텔라는 나지막한 목소리로 말했다,10,4,0,0,0
스텔라,먼저가 곧 따라갈게,10,4,0,0,0
